observer,date,site,start_time,end_time,time_of_capture,body_temperature_c,microhabitat_type,microhabitat_temperature_c,species_capture,life_stage,sex,bd_swab_tube_id,dry_swab_tube_id,crispr_swab_tube_id,bacterial_swab_tube_id,mucusome_id,amp_id_1,amp_id_2,amp_id_3,amp_id_4,antibody_id_1,antibody_id_2,antibody_id_3,antibody_id_4,toe_clip_tube_id,capture_comments,survey_time,detection_type,temp_cap_id
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:03:00,19.2,water,18.8,Rana catesbeiana,NA,NA,2022-05-19 admin raca#24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,1
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,21:08:00,18.2,emergent vegetation (lower than 1m),18.4,Pseudacris crucifer,adult,male,2022-05-19-admin-pscr6,NA,NA,2022-05-19-admin-pscr6,2022-05-19-admin-pscr6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,2
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:09:00,18.3,tree/log/bush (lower than 1m),17.5,Rana pipiens,NA,NA,2022-05-19 admin rapi#27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,3
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,21:11:00,18.2,emergent vegetation (lower than 1m),18.2,Pseudacris crucifer,adult,male,2022-05-19-admin-pscr5,NA,NA,2022-05-19-admin-pscr5,2022-05-19-admin-pscr5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,4
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:12:00,18,water,17.9,Rana catesbeiana,NA,NA,2022-05-19 admin raca#19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,5
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:17:00,18.2,water,18.2,Rana catesbeiana,juvenile,unknown,2022-05-18-admin-raca10,NA,NA,2022-05-18-admin-raca10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,6
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,21:18:00,18.2,tree/log/bush (lower than 1m),18.2,Pseudacris crucifer,adult,male,2022-05-19-admin-pscr4,NA,NA,2022-05-19-admin-pscr4,2022-05-19-admin-pscr4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,7
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:21:00,18.2,water,18.3,Rana catesbeiana,juvenile,unknown,2022-05-19 admin raca#15,NA,NA,2022-05-19 admin raca#15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,8
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:25:00,18.1,water,18,Rana pipiens,NA,NA,2022-05-19 admin rapi#29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,9
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:28:00,18.3,water,18.3,Rana catesbeiana,NA,NA,2022-05-19 admin raca#26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,10
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:32:00,17.8,water,18,Rana pipiens,adult,female,2022-08-15-admin-rapi3,NA,NA,2022-08-15-admin-rapi3,2022-08-15-admin-rapi3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,11
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,21:34:00,19.4,water,19.7,Rana catesbeiana,NA,NA,2022-05-19 admin raca#22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,12
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:37:00,17.6,water,17.8,Rana pipiens,adult,female,2022-05-19-admin-rapi1,NA,NA,2022-05-19-admin-rapi1,2022-05-19-admin-rapi1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,13
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,21:43:00,20.1,water,20.4,Rana catesbeiana,adult,female,2022-05-19-admin-raca8,NA,NA,2022-05-19-admin-raca8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,14
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:45:00,17.7,water,17.8,Rana catesbeiana,NA,NA,NA,NA,NA,2022-05-19 admin raca#23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,15
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,21:47:00,18.6,wet ground,18.8,Rana pipiens,adult,female,2022-08-19-admin-rapi2,NA,NA,2022-08-19-admin-rapi2,2022-08-19-admin-rapi2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,16
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:48:00,17.9,water,18.1,Rana catesbeiana,NA,NA,2022-05-19 admin raca#25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,17
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:52:00,18.2,water,18.3,Rana catesbeiana,juvenile,unknown,2022-05-19 admin raca#17,NA,NA,2022-05-19 admin raca#17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,18
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,21:55:00,18.2,water,18.3,Rana catesbeiana,NA,NA,2022-05-19 admin raca#21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,19
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:03:00,18.4,water,18.5,Rana catesbeiana,NA,NA,2022-05-19 admin racA#20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,20
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,22:20:00,19.4,water,19.6,Rana catesbeiana,juvenile,unknown,2022-05-19-admin-raca9,NA,NA,2022-05-19-admin-raca9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,21
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:21:00,17.9,emergent vegetation (higher than 1m),18.2,Rana pipiens,NA,NA,2022-05-19 admin rapi#28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,22
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:24:00,18.2,water,18.3,Rana catesbeiana,NA,NA,2022-05-19 admin raca#18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,23
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:31:00,18.1,water,18.5,Rana catesbeiana,adult,female,2022-05-19 admin raca#11,NA,NA,2022-05-19 admin raca#11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,24
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:34:00,18.1,water,18.4,Rana catesbeiana,juvenile,unknown,2022-05-19 admin raca#12,NA,NA,2022-05-19 admin raca#12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,25
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:37:00,18,water,18.1,Rana catesbeiana,juvenile,unknown,2022-05-19 admin raca #16,NA,NA,2022-05-19 admin raca #16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,26
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,22:40:00,19.4,water,19.7,Rana catesbeiana,juvenile,unknown,2022-05-19 admin #13,NA,NA,2022-05-19 admin #13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,27
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,22:41:00,17.7,emergent vegetation (lower than 1m),17.7,Rana catesbeiana,juvenile,unknown,2022-05-18-admin-raca7,NA,NA,2022-05-18-admin-raca7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,28
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,22:57:00,18.4,water,18.6,Rana catesbeiana,juvenile,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,night,capture,29
brandon hoenig,2022-05-20T00:00:00Z,admin pond,13:29:00,14:37:00,13:30:00,NA,dry ground,21.7,Bufo americanus,NA,unknown,2022-05-20 admin buam#6,NA,NA,2022-05-20 admin buam#6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,capture,30
emily jolly,2022-05-20T00:00:00Z,admin pond,13:28:00,14:37:00,13:36:00,NA,leaf litter,19.8,Bufo americanus,NA,unknown,2022-05-20 admin Buam#3,NA,NA,2022-05-20 admin Buam#3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,capture,31
emily jolly,2022-05-20T00:00:00Z,admin pond,13:28:00,14:37:00,13:41:00,NA,leaf litter,20,Pseudacris crucifer,adult,unknown,2022-05-20-admin-pscr1,NA,NA,2022-05-20-admin-pscr1,2022-05-20-admin-pscr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,capture,32
emily jolly,2022-05-20T00:00:00Z,admin pond,13:28:00,14:37:00,13:53:00,NA,leaf litter,18.9,Bufo americanus,adult,unknown,2022-05-20 admin buam#2,NA,NA,2022-05-20 admin buam#2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,capture,33
brandon hoenig,2022-05-20T00:00:00Z,admin pond,13:29:00,14:37:00,14:15:00,23.4,dry ground,24,Bufo americanus,NA,unknown,2022-05-20 admin buam#5,NA,NA,2022-05-20 admin buam#5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,day,capture,34
