observer,date,site,start_time,end_time,survey_time,detection_type,temp_surv_id
Brandon Hoenig,2022-05-26T00:00:00Z,wood lab pond,20:57:00,21:17:00,night,visual,11
Emily Jolly,2022-05-27T00:00:00Z,wood lab pond,20:43:00,NA,night,visual,15
Brandon Hoenig,2022-05-27T00:00:00Z,wood lab pond,20:43:00,20:56:00,night,visual,14
Shane Robertson,2022-05-26T00:00:00Z,wood lab pond,20:58:00,21:17:00,night,visual,12
Brandon Hoenig,2022-06-03T00:00:00Z,phelps pond,20:59:00,21:25:00,night,visual,17
Emily Jolly,2022-06-14T00:00:00Z,tuttle pond,21:18:00,21:38:00,night,visual,28
Brandon Hoenig,2022-06-03T00:00:00Z,NA,20:57:00,21:26:00,night,visual,18
Brandon Hoenig,2022-06-14T00:00:00Z,tuttle pond,21:15:00,21:35:00,night,visual,27
Brandon Hoenig,2022-06-15T00:00:00Z,tuttle pond,21:33:00,21:56:00,night,visual,36
Myah Madril,2022-06-27T00:00:00Z,vorisek pond,22:14:00,22:34:00,night,visual,52
Brandon Hoenig,2022-06-27T00:00:00Z,vorisek pond,22:16:00,22:34:00,night,visual,54
Sydney Dawson,2022-06-27T00:00:00Z,vorisek pond,22:14:00,NA,night,visual,53
Sydney Dawson,2022-07-11T00:00:00Z,rv pond,21:39:00,22:03:00,night,visual,60
Myah Madril,2022-07-11T00:00:00Z,rv pond,21:40:00,22:02:00,night,visual,61
Myah Madril,2022-07-18T00:00:00Z,tuttle pond,21:30:00,21:52:00,night,visual,70
emily jolly,2022-05-19T00:00:00Z,admin pond,19:31:00,22:59:00,night,capture,6
brandon hoenig,2022-05-19T00:00:00Z,admin pond,20:59:00,22:59:00,night,capture,7
brandon hoenig,2022-05-20T00:00:00Z,admin pond,13:29:00,14:37:00,day,capture,9
emily jolly,2022-05-20T00:00:00Z,admin pond,13:28:00,14:37:00,day,capture,8
emily jolly,2022-06-07T00:00:00Z,rv pond,21:22:00,23:22:00,night,capture,20
myah madril,2022-06-07T00:00:00Z,rv pond,21:22:00,02:12:00,night,capture,19
brandon hoenig,2022-06-07T00:00:00Z,rv pond,21:25:00,23:07:00,night,capture,21
sydney dawson,2022-06-08T00:00:00Z,rv pond,21:11:00,22:02:00,night,capture,24
myah madril,2022-06-08T00:00:00Z,rv pond,21:11:00,22:03:00,night,capture,25
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,21:35:00,22:47:00,night,capture,29
emily jolly,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:47:00,night,capture,31
myah madril,2022-06-14T00:00:00Z,tuttle pond,21:44:00,22:46:00,night,capture,30
emily jolly,2022-06-14T00:00:00Z,tuttle pond,23:01:00,23:28:00,night,capture,33
brandon hoenig,2022-06-14T00:00:00Z,tuttle pond,22:59:00,23:29:00,night,capture,32
emily jolly,2022-06-15T00:00:00Z,tuttle pond,21:58:00,23:31:00,night,capture,37
sydney dawson,2022-06-15T00:00:00Z,tuttle pond,21:58:00,23:32:00,night,capture,38
brandon hoenig,2022-06-15T00:00:00Z,tuttle pond,22:02:00,23:32:00,night,capture,39
emily jolly,2022-06-22T00:00:00Z,tryon-weber,10:49:00,12:13:00,day,capture,41
